timestamp,xRequestId,matchPath,method,status,path,userAgent
"Feb 22, 2024 @ 18:50:10.197","262252b0-d170-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370545","WeMoScooter/4.15.0 (iOS 17.2.1; iPhoneSE2)"
"Feb 22, 2024 @ 18:50:08.582","2526b4a0-d170-11ee-87fb-a51c311df2a0","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370215","WeMoScooter/4.15.0 (iOS 17.0.3; iPhone12Pro)"
"Feb 22, 2024 @ 18:50:08.554","2526b4a0-d170-11ee-80c0-d551e4e9b4c5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370215","WeMoScooter/4.15.0 (iOS 17.0.3; iPhone12Pro)"
"Feb 22, 2024 @ 18:50:08.040","24d49d00-d170-11ee-80c0-d551e4e9b4c5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370331","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13)"
"Feb 22, 2024 @ 18:50:07.755","24adb410-d170-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370211","WeMoScooter/4.15.0 (iOS 17.2.1; unrecognized)"
"Feb 22, 2024 @ 18:50:07.745","24b02510-d170-11ee-87fb-a51c311df2a0","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370211","WeMoScooter/4.15.0 (iOS 17.2.1; unrecognized)"
"Feb 22, 2024 @ 18:50:07.487","24753ef0-d170-11ee-8106-cdc15315ccc3","/v22/users/me/rents/:id(\d+)$",DELETE,200,"/v22/users/me/rents/45370253","WeMoScooter/4.13.0 (iOS 17.3.1; iPhone14Pro)"
"Feb 22, 2024 @ 18:50:02.959","21cf4c40-d170-11ee-8106-cdc15315ccc3","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370327","WeMoScooter/4.16.1 (iOS 17.1.1; iPhoneSE2)"
"Feb 22, 2024 @ 18:49:55.580","1d6c6750-d170-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370206","WeMoScooter/4.16.1 (Android 14; Manufacturer: samsung, MarketName: SM-S9080, Model: SM-S9080, Codename: b0q, DeviceName: SM-S9080)"
"Feb 22, 2024 @ 18:49:54.534","1ccb6c60-d170-11ee-8106-cdc15315ccc3","/v22/users/me/rents/:id(\d+)$",DELETE,200,"/v22/users/me/rents/45370317","WeMoScooter/4.12.0 (iOS 17.3.1; iPhone12)"
"Feb 22, 2024 @ 18:49:51.147","1ac710e0-d170-11ee-bf87-8f33bdd4a4d5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370540","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone12ProMax)"
"Feb 22, 2024 @ 18:49:50.919","1aa24ad0-d170-11ee-bf87-8f33bdd4a4d5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370180","WeMoScooter/4.16.1 (iOS 16.6; iPhone12ProMax)"
"Feb 22, 2024 @ 18:49:50.905","1aa11250-d170-11ee-a22f-1ba4c6f85202","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370180","WeMoScooter/4.16.1 (iOS 16.6; iPhone12ProMax)"
"Feb 22, 2024 @ 18:49:50.877","1aa3d170-d170-11ee-bf87-8f33bdd4a4d5","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370180","WeMoScooter/4.16.1 (iOS 16.6; iPhone12ProMax)"
"Feb 22, 2024 @ 18:49:50.052","1a1f3820-d170-11ee-b9f9-e703d98fd1ab","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370170","WeMoScooter/4.15.0 (iOS 17.2.1; iPhone12Pro)"
"Feb 22, 2024 @ 18:49:42.597","15b57560-d170-11ee-a22f-1ba4c6f85202","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370219","WeMoScooter/4.16.1 (iOS 17.3.1; iPhoneXS)"
"Feb 22, 2024 @ 18:49:34.957","111f2460-d170-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370511","WeMoScooter/4.16.1 (iOS 16.0; iPhone11)"
"Feb 22, 2024 @ 18:49:30.319","0e5b7080-d170-11ee-90f5-0d49d3fd4566","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370343","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone15)"
"Feb 22, 2024 @ 18:49:30.132","0e3f5d00-d170-11ee-80c0-d551e4e9b4c5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370262","WeMoScooter/4.16.1 (iOS 17.1.1; iPhone13Mini)"
"Feb 22, 2024 @ 18:49:30.002","0e2b38c0-d170-11ee-a4fc-1772698914a7","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370344","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:49:24.319","0ac9e550-d170-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370527","WeMoScooter/4.16.1 (iOS 16.6.1; iPhone11)"
"Feb 22, 2024 @ 18:49:04.088","fe990400-d16f-11ee-b9f9-e703d98fd1ab","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370385","WeMoScooter/4.15.0 (iOS 17.2.1; iPhone14ProMax)"
"Feb 22, 2024 @ 18:49:02.363","fda88980-d16f-11ee-90f5-0d49d3fd4566","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370238","WeMoScooter/4.16.1 (iOS 16.6.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:49:02.061","fd8263e0-d16f-11ee-bf87-8f33bdd4a4d5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370300","WeMoScooter/4.16.1 (iOS 16.7.2; iPhone11Pro)"
